screening_id,canonical_key,title,year,doi,source_record_ids,databases,search_ids,stage,decision,exclusion_reason,full_text_status,url
SCR00011,title:6dof testing of the sls inertial navigation unit,6DOF Testing of the SLS Inertial Navigation Unit,2019,,NTRS:20180002019,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20180002019
SCR00012,doi:10.1007/978-981-95-1683-4_10,6G-Based Secure VR-Digital Twin Framework for Personalized Mental Health Care,2026,10.1007/978-981-95-1683-4_10,https://openalex.org/W7117975917,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1007/978-981-95-1683-4_10
SCR00013,doi:10.5281/zenodo.19908778,7th International Conference on Machine Learning & Trends (MLT 2026),2026,10.5281/zenodo.19908778,https://openalex.org/W7158771654,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.5281/zenodo.19908778
SCR00014,doi:10.5281/zenodo.19908777,7th International Conference on Machine Learning & Trends (MLT 2026),2026,10.5281/zenodo.19908777,https://openalex.org/W7159021396,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.5281/zenodo.19908777
SCR00015,doi:10.5281/zenodo.20051013,8th International Conference on Machine Learning & Applications (CMLA 2026),2026,10.5281/zenodo.20051013,https://openalex.org/W7160407952,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.5281/zenodo.20051013
SCR00016,doi:10.5281/zenodo.20051012,8th International Conference on Machine Learning & Applications (CMLA 2026),2026,10.5281/zenodo.20051012,https://openalex.org/W7160420699,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.5281/zenodo.20051012
SCR00017,title:8th spacecraft charging technology conference,8th Spacecraft Charging Technology Conference,2019,,NTRS:20040111031,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20040111031
SCR00018,doi:10.1016/j.physa.2025.131033,A black-box attack method of machine learning algorithms based on quantum autoencoders,2025,10.1016/j.physa.2025.131033,https://openalex.org/W4414957528,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1016/j.physa.2025.131033
SCR00019,doi:10.48550/arxiv.2308.10791,A Block-Ring connected Topology of Parameterized Quantum Circuits,2023,10.48550/arxiv.2308.10791,https://openalex.org/W4386081798,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2308.10791
SCR00020,title:a block ring connected topology of parameterized quantum circuits,A Block-Ring connected Topology of Parameterized Quantum Circuits,2023,,arXiv:2308.10791v1,arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2308.10791v1
SCR00021,doi:10.1016/j.ejor.2019.11.043,A branch-and-price heuristic for the crew pairing problem with language constraints,2019,10.1016/j.ejor.2019.11.043,https://openalex.org/W2991187918,OpenAlex,S6,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1016/j.ejor.2019.11.043
SCR00022,doi:10.1109/icaaid68975.2025.11358227,A Brief Review on Quantum-Based Control Strategies for Robotic Systems,2025,10.1109/icaaid68975.2025.11358227,https://openalex.org/W7127144617,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/icaaid68975.2025.11358227
SCR00023,doi:10.1145/3564982.3564989,A Brief Survey of Quantum Architecture Search,2022,10.1145/3564982.3564989,https://openalex.org/W4318598373,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1145/3564982.3564989
SCR00024,title:a causal learning approach to in orbit inertial parameter estimation for multi payload deployers,A causal learning approach to in-orbit inertial parameter estimation for multi-payload deployers,2025,,arXiv:2501.14824v1,arXiv,S2,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2501.14824v1
SCR00025,doi:10.1109/access.2026.3706394,A Channel-Level Diagnostic for Symmetry Breaking in Noisy Equivariant Quantum Neural Networks,2026,10.1109/access.2026.3706394,https://openalex.org/W7165614291,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/access.2026.3706394
SCR00026,doi:10.1109/icsmartgrid66138.2025.11071818,A Classical-Quantum Transfer Learning Model for Disturbance Detection in Power Systems,2025,10.1109/icsmartgrid66138.2025.11071818,https://openalex.org/W4413158762,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/icsmartgrid66138.2025.11071818
SCR00027,doi:10.23919/isc.2026.11520504,A Coevolutionary Framework for Noise-Resistant Quantum Architecture Search,2026,10.23919/isc.2026.11520504,https://openalex.org/W7163904957,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.23919/isc.2026.11520504
SCR00028,doi:10.1007/s40430-020-02767-8,A combined backstepping and adaptive fuzzy PID approach for trajectory tracking of autonomous mobile robots,2021,10.1007/s40430-020-02767-8,https://openalex.org/W3132320698,OpenAlex,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1007/s40430-020-02767-8
SCR00029,doi:10.64823/ijter.2604007,A Comparative Multi-Modality Evaluation of Ensemble Machine Learning and Variational Quantum Classification for Alzheimer’s Disease Prediction,2026,10.64823/ijter.2604007,https://openalex.org/W7154578491,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.64823/ijter.2604007
SCR00030,doi:10.1109/qpain69676.2026.11546183,A Comparative Study of Classical and Hybrid Quantum Machine Learning Models for Skin Lesion Classification Using Latent Feature Embeddings,2026,10.1109/qpain69676.2026.11546183,https://openalex.org/W7164341857,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1109/qpain69676.2026.11546183
SCR00031,doi:10.21275/sr251210205803,A Comparative Study of Classical and Variational Quantum Machine Learning Models for Breast Cancer Classification,2025,10.21275/sr251210205803,https://openalex.org/W4417350989,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.21275/sr251210205803
SCR00032,title:a comparison of two skip entry guidance algorithms,A Comparison of Two Skip Entry Guidance Algorithms,2007,,https://openalex.org/W1481712024,OpenAlex,S1,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://hdl.handle.net/2060/20070023643
SCR00033,title:a comprehensive approach to on board autonomy verification and validation,A Comprehensive Approach to On-Board Autonomy Verification and Validation,2009,,https://openalex.org/W14781952,OpenAlex,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://hdl.handle.net/11572/258716
SCR00034,doi:10.1145/3589014.3595066,A Comprehensive Introduction to the Intel Quantum SDK,2023,10.1145/3589014.3595066,https://openalex.org/W4385828921,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1145/3589014.3595066
SCR00035,doi:10.1002/9781394347070.ch15,A Comprehensive Survey on Quantum Learning and Quantum Machine Learning,2026,10.1002/9781394347070.ch15,https://openalex.org/W7162126034,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1002/9781394347070.ch15
SCR00036,doi:10.22541/au.175641372.28452337/v1,"A Comprehensive Systematic Mapping Review of Quantum Algorithms: Taxonomy, Trends, and Research Gaps",2025,10.22541/au.175641372.28452337/v1,https://openalex.org/W4413782113,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.22541/au.175641372.28452337/v1
SCR00037,doi:10.36227/techrxiv.174682213.37583283/v1,"A Comprehensive Systematic Mapping Review of Quantum Algorithms: Taxonomy, Trends, and Research Gaps",2025,10.36227/techrxiv.174682213.37583283/v1,https://openalex.org/W4410223800,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.36227/techrxiv.174682213.37583283/v1
SCR00038,doi:10.1109/tnnls.2025.3577721,A Comprehensively Adaptive Architectural Optimization-Ingrained Quantum Neural Network Model for Cloud Workloads Prediction,2025,10.1109/tnnls.2025.3577721,arXiv:2507.08317v1;https://openalex.org/W4411446435,OpenAlex;arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/tnnls.2025.3577721
SCR00039,title:a computational study of the effect of fill level during tank self pressurization and validation against ground based k site experiment,A Computational Study of the Effect of Fill Level During Tank Self-Pressurization and Validation Against Ground-Based K-Site Experiment,2025,,NTRS:20250004156,NASA NTRS,S7,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20250004156
SCR00040,doi:10.22624/aims/v12n1p4,A Conceptual Review of Quantum-Enhanced Resource Allocation Strategies for Sustainable Energy Management in Smart Cities,2026,10.22624/aims/v12n1p4,https://openalex.org/W7160233063,OpenAlex,S4,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.22624/aims/v12n1p4
SCR00041,doi:10.1007/s10479-014-1619-1,A constraint programming-based approach to the crew scheduling problem of the Taipei mass rapid transit system,2014,10.1007/s10479-014-1619-1,https://openalex.org/W2015226806,OpenAlex,S6,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1007/s10479-014-1619-1
SCR00042,title:a controlled benchmark of quantum latent gan augmentation for brain mri,A Controlled Benchmark of Quantum-Latent GAN Augmentation for Brain MRI,2026,,arXiv:2606.18970v2;https://openalex.org/W7165423650,OpenAlex;arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://arxiv.org/abs/2606.18970
SCR00043,doi:10.48550/arxiv.2606.18970,A Controlled Benchmark of Quantum-Latent GAN Augmentation for Brain MRI,2026,10.48550/arxiv.2606.18970,https://openalex.org/W7165169024,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.48550/arxiv.2606.18970
SCR00044,doi:10.48550/arxiv.2606.21570,A Correlation Aware Quantum Feature Map for Variational Quantum Classification,2026,10.48550/arxiv.2606.21570,https://openalex.org/W7165621247,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.48550/arxiv.2606.21570
SCR00045,title:a correlation aware quantum feature map for variational quantum classification,A Correlation Aware Quantum Feature Map for Variational Quantum Classification,2026,,arXiv:2606.21570v1;https://openalex.org/W7165816173,OpenAlex;arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://arxiv.org/abs/2606.21570
SCR00046,doi:10.21203/rs.3.rs-10102081/v1,A Correlation Aware Quantum Feature Map for Variational Quantum Classification,2026,10.21203/rs.3.rs-10102081/v1,https://openalex.org/W7165589724,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.21203/rs.3.rs-10102081/v1
SCR00047,title:a data driven surrogate modeling and sensor actuator placement framework for flexible spacecraft,A Data-Driven Surrogate Modeling and Sensor/Actuator Placement Framework for Flexible Spacecraft,2026,,arXiv:2601.06325v1,arXiv,S2,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,http://arxiv.org/abs/2601.06325v1
SCR00048,title:a database of cfd based buffet forcing functions for artemis i structural response evaluation,A Database of CFD-Based Buffet Forcing Functions for Artemis I Structural Response Evaluation,2025,,NTRS:20240014635;NTRS:20240015849,NASA NTRS,S5,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20240015849
SCR00049,title:a differentially private quantum neural network for probabilistic optimal power flow,A Differentially Private Quantum Neural Network for Probabilistic Optimal Power Flow,2024,,arXiv:2411.16117v2,arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2411.16117v2
SCR00050,doi:10.21015/vtcs.v14i1.2333,A Digital Twin-Inspired Hybrid Variational Quantum Reinforcement Learning Framework for Heart Disease Risk Prediction,2026,10.21015/vtcs.v14i1.2333,https://openalex.org/W7154835545,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.21015/vtcs.v14i1.2333
SCR00051,doi:10.1007/s11128-023-03863-z,A direct error correction method for quantum machine learning,2023,10.1007/s11128-023-03863-z,https://openalex.org/W4321351895,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1007/s11128-023-03863-z
SCR00052,doi:10.1109/icdsbs63635.2025.11031541,A Dual Autoencoder Approach Using Trainable Encoding Circuits for Optimizing Quantum Neural Networks,2025,10.1109/icdsbs63635.2025.11031541,https://openalex.org/W4411484377,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/icdsbs63635.2025.11031541
SCR00053,doi:10.1016/j.actaastro.2020.07.032,A Flexible Lunar Architecture for Exploration (FLARE) supporting NASA's Artemis Program,2020,10.1016/j.actaastro.2020.07.032,https://openalex.org/W3045767614,OpenAlex,S5,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1016/j.actaastro.2020.07.032
SCR00054,title:a foundation model for the solar dynamics observatory,A Foundation Model for the Solar Dynamics Observatory,2024,,arXiv:2410.02530v1,arXiv,S2,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2410.02530v1
SCR00055,doi:10.1109/access.2026.3665240,A Four-Phase Spatio-Temporal and Quantum-Enhanced Framework for Traffic Speed Forecasting With Calibrated Uncertainty,2026,10.1109/access.2026.3665240,https://openalex.org/W7129056497,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/access.2026.3665240
SCR00056,doi:10.1088/1402-4896/acfc31,"A fractional-order quantum neural network: dynamics, finite-time synchronization",2023,10.1088/1402-4896/acfc31,https://openalex.org/W4387307375,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1088/1402-4896/acfc31
SCR00057,title:a framework for deep energy based reinforcement learning with quantum speed up,A framework for deep energy-based reinforcement learning with quantum speed-up,2019,,https://openalex.org/W2982197950,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://arxiv.org/pdf/1910.12760
SCR00058,doi:10.1038/s41524-025-01914-w,A framework of active data selection and quantum-enhanced regression for predicting magnetic properties of sintered NdFeB magnets,2025,10.1038/s41524-025-01914-w,https://openalex.org/W7117474339,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1038/s41524-025-01914-w
SCR00059,doi:10.1109/cdc57313.2025.11313021,A Fuel-Efficient Free-Final-Time Guidance for Terrain-Avoided Precision Soft Landing of Spacecraft,2025,10.1109/cdc57313.2025.11313021,https://openalex.org/W7123347087,OpenAlex,S1,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1109/cdc57313.2025.11313021
SCR00060,doi:10.48550/arxiv.2306.00874,A general-purpose single-photon-based quantum computing platform,2023,10.48550/arxiv.2306.00874,https://openalex.org/W4379259259,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2306.00874
SCR00061,title:a general purpose single photon based quantum computing platform,A general-purpose single-photon-based quantum computing platform,2023,,arXiv:2306.00874v1,arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2306.00874v1
SCR00062,doi:10.48550/arxiv.2504.06328,A Geometric-Aware Perspective and Beyond: Hybrid Quantum-Classical Machine Learning Methods,2025,10.48550/arxiv.2504.06328,https://openalex.org/W4417241775,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2504.06328
SCR00063,title:a geometric aware perspective and beyond hybrid quantum classical machine learning methods,A Geometric-Aware Perspective and Beyond: Hybrid Quantum-Classical Machine Learning Methods,2025,,arXiv:2504.06328v1,arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2504.06328v1
SCR00064,doi:10.1109/jstsp.2009.2023352,A GPS Receiver for High-Altitude Satellite Navigation,2009,10.1109/jstsp.2009.2023352,https://openalex.org/W2169936485,OpenAlex,S5,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/jstsp.2009.2023352
SCR00065,doi:10.1109/icsadl65848.2025.10933300,A Grading Model for Jasmine Flowers Using Deep Learning and Quantum Machine Learning,2025,10.1109/icsadl65848.2025.10933300,https://openalex.org/W4408897383,OpenAlex,S3,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.1109/icsadl65848.2025.10933300
SCR00066,title:a green s function sensor fusion approach for evaluating spacecraft entry heating from on board thermal instrumentation,A Green’s Function Sensor Fusion Approach for Evaluating Spacecraft Entry Heating From on-Board Thermal Instrumentation,2024,,NTRS:20240007802;NTRS:20240009340,NASA NTRS,S1,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20240009340
SCR00067,doi:10.1088/1367-2630/abdefa,A Grover-search based quantum learning scheme for classification,2021,10.1088/1367-2630/abdefa,arXiv:1809.06056v2;https://openalex.org/W3124104284,OpenAlex;arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1088/1367-2630/abdefa
SCR00068,doi:10.23919/jsee.2021.000079,A guidance method for coplanar orbital interception based on reinforcement learning,2021,10.23919/jsee.2021.000079,https://openalex.org/W3205299042,OpenAlex,S2,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.23919/jsee.2021.000079
SCR00069,doi:10.48550/arxiv.2607.07942,A hardware-efficient variational ansatz with an exact diagonal metric for real- and imaginary-time evolution and Haar sampling,2026,10.48550/arxiv.2607.07942,https://openalex.org/W7167903660,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.48550/arxiv.2607.07942
SCR00070,title:a hardware efficient variational ansatz with an exact diagonal metric for real and imaginary time evolution and haar sampling,A hardware-efficient variational ansatz with an exact diagonal metric for real- and imaginary-time evolution and Haar sampling,2026,,arXiv:2607.07942v1,arXiv,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/2607.07942v1
SCR00071,doi:10.2514/6.2020-3816,A Heat and Mass Transfer Model of the Orion European Service Module Propulsion Sub-System,2020,10.2514/6.2020-3816,https://openalex.org/W3070697015,OpenAlex,S5,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://doi.org/10.2514/6.2020-3816
SCR00072,doi:10.48550/arxiv.1306.5333,"A High Earth, Lunar Resonant Orbit for Lower Cost Space Science Missions",2013,10.48550/arxiv.1306.5333,https://openalex.org/W1485396436,OpenAlex,S1,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://arxiv.org/abs/1306.5333
SCR00073,title:a history of orion mission design copernicus software development and the artemis i trajectory,"A History of Orion Mission Design, Copernicus Software Development, and the Artemis I Trajectory",2023,,NTRS:20230010149,NASA NTRS,S5,title_abstract_discovery,include_for_full_text,title_contains_direct_task_and_method_conjunction,pending_full_text_screen,https://ntrs.nasa.gov/citations/20230010149
SCR00074,doi:10.1109/access.2023.3274669,A Holistic Approach on Airfare Price Prediction Using Machine Learning Techniques,2023,10.1109/access.2023.3274669,https://openalex.org/W4376454435,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/access.2023.3274669
SCR00075,title:a homotopic approach for robust low thrust trajectory design through convex optimization,A Homotopic Approach for Robust Low-Thrust Trajectory Design Through Convex Optimization,2021,,https://openalex.org/W3212411853,OpenAlex,S1,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,http://hdl.handle.net/11311/1189310
SCR00076,title:a human factors evaluation of a methodology for pressurized crew module acceptability for zero gravity ingress of spacecraft,A Human Factors Evaluation of a Methodology for Pressurized Crew Module Acceptability for Zero-Gravity Ingress of Spacecraft,2019,,NTRS:20000032160,NASA NTRS,S6,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://ntrs.nasa.gov/citations/20000032160
SCR00077,doi:10.1007/s10470-025-02500-2,A hybrid approach based internet of things assisted power monitoring system for smart grid,2025,10.1007/s10470-025-02500-2,https://openalex.org/W4414535624,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1007/s10470-025-02500-2
SCR00078,doi:10.1109/icemce68156.2025.11466816,A Hybrid PSO-QUBO Framework for Cooperative Defensive Screening by Multi-UAV Systems,2025,10.1109/icemce68156.2025.11466816,https://openalex.org/W7154449636,OpenAlex,S4,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/icemce68156.2025.11466816
SCR00079,doi:10.2139/ssrn.6667583,A Hybrid Quantum–Classical Framework for Intrusion Detection: Quantum Feature Embeddings Under Data Scarcity,2026,10.2139/ssrn.6667583,https://openalex.org/W7158611749,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.2139/ssrn.6667583
SCR00080,doi:10.21203/rs.3.rs-8326814/v1,A Hybrid Quantum-Classical GAN with Classical Critic for Multi-Conditional Image Generation,2026,10.21203/rs.3.rs-8326814/v1,https://openalex.org/W7133804006,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.21203/rs.3.rs-8326814/v1
SCR00081,doi:10.1109/access.2024.3433383,A Hybrid Quantum-Classical Generative Adversarial Network for Near-Term Quantum Processors,2024,10.1109/access.2024.3433383,https://openalex.org/W4400975330,OpenAlex,S3,title_abstract_discovery,exclude,title_lacks_direct_task_method_conjunction_after_concept_search,not_requested,https://doi.org/10.1109/access.2024.3433383
