task_key,task_signature,source_commit,stage,family_id,model_family,trial_id,trial_order,view,rung_samples,matched_qubits,seed_index,candidate_role,control_for,advancement_basis,source_split,calibration_rows_read,final_test_rows_read,fold_id,training_seed,qubits,data_reupload_layers,feature_scale,entangle,shots,noise_state,training_rows,validation_rows,training_groups,validation_groups,rmse,nrmse,mae,mean_regret_m_s,no_reference_feasible_rate,training_wall_time_s,inference_wall_time_s,feasibility_metric_error,cost_fitted_trainable_parameter_count,feasibility_fitted_trainable_parameter_count,feasibility_samples,feasibility_precision,feasibility_recall,feasibility_auroc,feasibility_brier,feasibility_expected_calibration_error,eligible_to_advance,fold_end_to_end_wall_time_s,centered_kernel_target_alignment,cost_gradient_norm_proxy,cost_initial_loss,cost_logical_circuit_depth,cost_loss_improvement,cost_objective_evaluations,cost_optimization_message,cost_optimization_success,cost_optimizer_iterations,cost_parameter_count,cost_resource_count_scope,cost_training_loss,cost_two_qubit_gate_count,effective_rank,feasibility_gradient_norm_proxy,feasibility_initial_loss,feasibility_logical_circuit_depth,feasibility_loss_improvement,feasibility_objective_evaluations,feasibility_optimization_message,feasibility_optimization_success,feasibility_optimizer_iterations,feasibility_parameter_count,feasibility_resource_count_scope,feasibility_training_loss,feasibility_two_qubit_gate_count,kernel_rows,nystrom_landmarks,off_diagonal_mean,off_diagonal_q05,off_diagonal_q95,off_diagonal_std,regularized_condition_number
C01-T03__primary__rfull__qraw__s03,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,3,primary_candidate,,candidate,development,0,0,CV01,3541654860,,,,,,,32500,6500,10,2,0.9557113302257076,0.4080928099458962,0.6889948130052516,10.0,0.3123076923076923,15.087770291000197,0.0015099169977474958,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753726535930614,0.07625112499383403,0.07752119492694584,True,16.33231458299997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T03__primary__rfull__qraw__s03,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,3,primary_candidate,,candidate,development,0,0,CV02,3541654860,,,,,,,29250,9750,9,3,0.19120409812790293,0.08164496455196245,0.1825833814515316,11.436257451269743,0.41384615384615386,16.236660791997565,0.002225416996225249,,54,54,9750,0.5515927977839336,0.4827272727272727,0.8129944092083627,0.1753446196143143,0.19381515596579774,True,17.979353582995827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T03__primary__rfull__qraw__s03,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,3,primary_candidate,,candidate,development,0,0,CV03,3541654860,,,,,,,29250,9750,9,3,0.5079169607806021,0.2168827063033598,0.4987981093536047,19.57975544092513,0.838974358974359,13.729024082997057,0.0027224579971516505,,55,55,9750,0.21554770318021202,0.12398373983739837,0.8377500803523914,0.05360355941654273,0.05049543053227366,True,15.508068625000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T03__primary__rfull__qraw__s03,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,3,primary_candidate,,candidate,development,0,0,CV04,3541654860,,,,,,,32500,6500,10,2,0.17488807523848668,0.07467795326152296,0.16069439427934967,19.430823940648462,0.6576923076923077,18.988171375000093,0.0016423749984824099,,54,54,6500,0.36645962732919257,0.09335443037974683,0.8508613548704409,0.07551374778847171,0.02731390440051509,True,20.165429667002172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T03__primary__rfull__qraw__s03,075bb3826f71f8858ed1ca22148ac86199a10610e9fd73dd3e8d26240371408d,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T03,3,primary,,,3,primary_candidate,,candidate,development,0,0,CV05,3541654860,,,,,,,32500,6500,10,2,0.8704281455500834,0.37167652672867113,0.6234376152481081,17.615776675117694,0.39384615384615385,18.241254208995088,0.001949500001501292,,54,54,6500,0.47421731123388583,0.8059467918622848,0.8357162636228452,0.14933379453200654,0.14286202403794776,True,19.456539332997636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T04__primary__rfull__qraw__s04,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,4,primary_candidate,,candidate,development,0,0,CV01,3875691749,,,,,,,32500,6500,10,2,0.15494180285318543,0.06616080996916351,0.1255606894213883,10.0,0.3123076923076923,13.134323040998424,0.001962417001777794,,54,54,6500,0.8979244641034365,0.9016057396651862,0.9761588331267486,0.06448409359309948,0.08782149889801641,True,14.385224875004496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T04__primary__rfull__qraw__s04,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,4,primary_candidate,,candidate,development,0,0,CV02,3875691749,,,,,,,29250,9750,9,3,0.17207431081871022,0.07347646386584826,0.11414813663292402,17.549374511469743,0.41384615384615386,14.10808787499991,0.0028417920038918965,,54,54,9750,0.38633461047254153,0.18333333333333332,0.7240838618745595,0.2513283234855835,0.24744920940990636,True,15.870468540997535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T04__primary__rfull__qraw__s04,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,4,primary_candidate,,candidate,development,0,0,CV03,3875691749,,,,,,,29250,9750,9,3,0.4092896132429118,0.174768408689392,0.18226109705980975,19.456794334011793,0.838974358974359,12.41762283299613,0.002661416001501493,,55,55,9750,0.3317972350230415,0.14634146341463414,0.8508938435139374,0.04780210009463415,0.04124443853774495,True,14.246608250003192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T04__primary__rfull__qraw__s04,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,4,primary_candidate,,candidate,development,0,0,CV04,3875691749,,,,,,,32500,6500,10,2,0.27477584434092206,0.11733045625383627,0.1532350951015028,19.73846153846154,0.6576923076923077,16.097847750002984,0.0015509590011788532,,54,54,6500,0.6222222222222222,0.04430379746835443,0.850700646285798,0.07548843601910961,0.028257966574523886,True,17.330047249997733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T04__primary__rfull__qraw__s04,8b997b0af43255f4260eed9e87d62800fab380980f06ee1a4c86ca52ea1d677b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T04,4,primary,,,4,primary_candidate,,candidate,development,0,0,CV05,3875691749,,,,,,,32500,6500,10,2,0.09857313162291226,0.042091147187363204,0.07417551672663633,18.046411826736925,0.39384615384615385,15.02361891700275,0.0019540830035111867,,54,54,6500,0.44899701237729406,0.8231611893583725,0.8189815089524336,0.1634329256174835,0.16066909836844123,True,16.231135458001518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T05__primary__rfull__qraw__s05,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,5,primary_candidate,,candidate,development,0,0,CV01,1404528401,,,,,,,32500,6500,10,2,1.5458131041191385,0.6600687816081293,1.2018207451419403,9.984615384615385,0.3123076923076923,0.39147699999739416,0.0017041250030160882,,54,54,6500,0.8120578283605044,0.9019473864024599,0.9445169714666168,0.09446842774777818,0.14994429915889856,True,1.6068119169940474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T05__primary__rfull__qraw__s05,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,5,primary_candidate,,candidate,development,0,0,CV02,1404528401,,,,,,,29250,9750,9,3,1.6486607531228104,0.7039851659292459,1.211932156227391,19.753846153846155,0.41384615384615386,0.26623025000299094,0.0024762500033830293,,54,54,9750,0.5714285714285714,0.05090909090909091,0.694927601597369,0.2309797710810444,0.2238864243105094,True,2.043857249998837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T05__primary__rfull__qraw__s05,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,5,primary_candidate,,candidate,development,0,0,CV03,1404528401,,,,,,,29250,9750,9,3,3.514037244052642,1.5005088752492861,1.7400082591171164,19.866666666666667,0.838974358974359,0.4482864169985987,0.0021455829992191866,,55,55,9750,0.17475728155339806,0.036585365853658534,0.8687643470731532,0.04458934030343217,0.01661428673773959,True,2.2409229579934618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T05__primary__rfull__qraw__s05,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,5,primary_candidate,,candidate,development,0,0,CV04,1404528401,,,,,,,32500,6500,10,2,2.760114611936221,1.1785806991445467,1.6102228485938161,20.0,0.6576923076923077,0.3743975830002455,0.002020875006564893,,54,54,6500,0.0,0.0,0.7647239803094232,0.08297312752223783,0.029757555924764326,True,1.563248416998249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T05__primary__rfull__qraw__s05,855aa33f643403f1e9d0c4ba1e89f0472bb6d9472ca0143a8f53404c21845261,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T05,5,primary,,,5,primary_candidate,,candidate,development,0,0,CV05,1404528401,,,,,,,32500,6500,10,2,1.2081995200536162,0.5159063427630594,0.9787049660370857,19.815384615384616,0.39384615384615385,0.3979506670002593,0.0015922919992590323,,54,54,6500,0.2230769230769231,0.04538341158059468,0.6972562212716273,0.15491596061547377,0.11166775558648069,True,1.5546691249983269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T06__primary__rfull__qraw__s06,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,6,primary_candidate,,candidate,development,0,0,CV01,1222615523,,,,,,,32500,6500,10,2,0.95661094698052,0.4084769501331419,0.6895638687872704,10.0,0.3123076923076923,15.162865999998758,0.002416749994154088,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753974189177056,0.0760193759462966,0.07722787267491273,True,16.424800166998466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T06__primary__rfull__qraw__s06,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,6,primary_candidate,,candidate,development,0,0,CV02,1222615523,,,,,,,29250,9750,9,3,0.19191076887184705,0.08194671597049445,0.18331029222468243,11.436257451269743,0.41384615384615386,16.191014459000144,0.0029151249982533045,,54,54,9750,0.5514018691588785,0.4827272727272727,0.8129938924124971,0.17528003455161986,0.19374635784555436,True,17.93785200000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T06__primary__rfull__qraw__s06,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,6,primary_candidate,,candidate,development,0,0,CV03,1222615523,,,,,,,29250,9750,9,3,0.6017801117522291,0.25696267168510406,0.5482995127531614,19.57975544092513,0.838974358974359,15.921700124999916,0.002570374999777414,,55,55,9750,0.21554770318021202,0.12398373983739837,0.8377983796040164,0.05359125266325162,0.050510916490958346,True,17.709683665998455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T06__primary__rfull__qraw__s06,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,6,primary_candidate,,candidate,development,0,0,CV04,1222615523,,,,,,,32500,6500,10,2,0.17368690391488914,0.07416504798859125,0.1596584275259211,19.430823940648462,0.6576923076923077,18.323266042003524,0.0023097499943105504,,54,54,6500,0.36645962732919257,0.09335443037974683,0.8508602762893358,0.07552006992628162,0.027483868865257253,True,19.510320916000637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T06__primary__rfull__qraw__s06,e6c70238cc2d593ad912350b39543df89c4b416f9939f5b308adb8f0bd43f495,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T06,6,primary,,,6,primary_candidate,,candidate,development,0,0,CV05,1222615523,,,,,,,32500,6500,10,2,0.870844523469123,0.37185432187413636,0.6237331636136969,17.615776675117694,0.39384615384615385,17.838960957997188,0.0021226250028121285,,54,54,6500,0.47421731123388583,0.8059467918622848,0.8357487792408308,0.14929359672495027,0.14276750822366724,True,19.04907375000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T07__primary__rfull__qraw__s07,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,7,primary_candidate,,candidate,development,0,0,CV01,2629060497,,,,,,,32500,6500,10,2,0.9551077147618141,0.407835063571027,0.6886173441765876,10.0,0.3123076923076923,15.215568749998056,0.0017284589994233102,,54,54,6500,0.8669513797634691,0.9016057396651862,0.9753887175874252,0.07610699297405778,0.07710965681811147,True,16.464060958001937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T07__primary__rfull__qraw__s07,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,7,primary_candidate,,candidate,development,0,0,CV02,2629060497,,,,,,,29250,9750,9,3,0.18967958038293486,0.08099398897944363,0.18104794559139656,11.436257451269743,0.41384615384615386,16.6357810000045,0.0022516250028274953,,54,54,9750,0.5512110726643599,0.4827272727272727,0.8129413201785295,0.1752912797989572,0.19396478221756847,True,18.421560124996176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T07__primary__rfull__qraw__s07,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,7,primary_candidate,,candidate,development,0,0,CV03,2629060497,,,,,,,29250,9750,9,3,0.5081081786163757,0.216964357133945,0.4991409014107994,19.57975544092513,0.838974358974359,13.472988708999765,0.00239470799715491,,55,55,9750,0.21631205673758866,0.12398373983739837,0.8378414098463732,0.053575304478864536,0.05051851531203602,True,15.238522583000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T07__primary__rfull__qraw__s07,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,7,primary_candidate,,candidate,development,0,0,CV04,2629060497,,,,,,,32500,6500,10,2,0.17578084071425998,0.07505916792342822,0.16148218049100307,19.430823940648462,0.6576923076923077,18.511488416996144,0.0020535419971565716,,54,54,6500,0.36645962732919257,0.09335443037974683,0.8508600066440596,0.0755201586461296,0.0274817661221076,True,19.69884666699363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T07__primary__rfull__qraw__s07,d3de1eeb9c999cc4765628d619b8b702aef5f4ef1701f571f7b43f5860f0384b,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T07,7,primary,,,7,primary_candidate,,candidate,development,0,0,CV05,2629060497,,,,,,,32500,6500,10,2,0.8701909643828074,0.37157524935970127,0.623265074655588,17.615776675117694,0.39384615384615385,17.747909792000428,0.001750499999616295,,54,54,6500,0.47421731123388583,0.8059467918622848,0.8357459322512375,0.14934557525221223,0.1429127411709439,True,18.891346208998584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T08__primary__rfull__qraw__s08,99619e134f5b0a754c025508e539e2ccf28c2f525feb320e1128075e2c474f1f,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T08,8,primary,,,8,primary_candidate,,candidate,development,0,0,CV01,3570788148,,,,,,,32500,6500,10,2,1.5458131041191385,0.6600687816081293,1.2018207451419403,9.96923076923077,0.3123076923076923,4.51064212500205,0.001513209004770033,,54,54,6500,0.9764837625979843,0.893747864707892,0.9769606941787431,0.09242169258589776,0.16286149433393132,True,5.776403583004139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T08__primary__rfull__qraw__s08,99619e134f5b0a754c025508e539e2ccf28c2f525feb320e1128075e2c474f1f,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T08,8,primary,,,8,primary_candidate,,candidate,development,0,0,CV02,3570788148,,,,,,,29250,9750,9,3,1.6486607531228104,0.7039851659292459,1.211932156227391,18.58472071611641,0.41384615384615386,4.336058667002362,0.002654750001966022,,54,54,9750,0.662870159453303,0.08818181818181818,0.7941533004463238,0.20197314860039056,0.16479996176150907,True,6.144926541994209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T08__primary__rfull__qraw__s08,99619e134f5b0a754c025508e539e2ccf28c2f525feb320e1128075e2c474f1f,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T08,8,primary,,,8,primary_candidate,,candidate,development,0,0,CV03,3570788148,,,,,,,29250,9750,9,3,3.514037244052642,1.5005088752492861,1.7400082591171164,19.784635586504614,0.838974358974359,4.687091125000734,0.0037627089986926876,,55,55,9750,0.4945054945054945,0.09146341463414634,0.8729180827129074,0.04157648178207367,0.01938383523954642,True,6.524218584003393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01-T08__primary__rfull__qraw__s08,99619e134f5b0a754c025508e539e2ccf28c2f525feb320e1128075e2c474f1f,6e5a6202eec486e88af6b969f6af86571fb0ce32,tuning,C01,ridge_elastic_net,C01-T08,8,primary,,,8,primary_candidate,,candidate,development,0,0,CV04,3570788148,,,,,,,32500,6500,10,2,2.760114611936221,1.1785806991445467,1.6102228485938161,20.0,0.6576923076923077,5.256063374996302,0.002216332999523729,,54,54,6500,0.0,0.0,0.8370134520635414,0.08042820126283112,0.04529271487479097,True,6.4460556659978465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
