outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used
CV01,3,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,3,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,4,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,5,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,6,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,7,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,8,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,9,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,10,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,11,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,12,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,13,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,14,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,15,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,16,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0
CV01,17,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0
