outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,feature_columns,interaction_ridge,candidate_coefficients,control_coefficients,feature_map
CV01,2,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002653203752105425;0.2155963833431832;-0.5268922104118852;-0.0591883940418132;-0.2126600093511106;-0.7434292944701608,-0.001915507256486133;-1.018647623907102;0.6197981975702808;-1.086163174198559;-0.9718460836059138;-1.203613466932477,"[1,u,v,u*v,u^2,v^2]"
CV01,2,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004975347667386364;0.5574669718970947;-0.7562316243119042;-0.3972176811889968;-0.03878294720166735;-2.031631893106008,-0.004109380801777552;-1.911879743893852;1.540060976081756;-0.1822019391869683;-0.3063979895336446;-0.09889612433586548,"[1,u,v,u*v,u^2,v^2]"
CV01,2,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,2,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006700503480739296;0.3128762902584677;-0.593732207132787;-0.6236204891597869;-0.1903173685347852;-3.102883593827883,-0.00611761957667536;-1.824709004187932;1.619554746211963;-0.2232343157367445;-0.3016639941906192;-0.1966491858618814,"[1,u,v,u*v,u^2,v^2]"
CV01,3,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002654473284518968;0.2151293562228557;-0.5264573779440181;-0.05728016331967495;-0.2161852240770556;-0.7443623382053377,-0.001929437666472301;-1.02935185984509;0.6297443970975591;-1.078292666584245;-0.9646131338037582;-1.193916902237657,"[1,u,v,u*v,u^2,v^2]"
CV01,3,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004833018726533281;0.5720394007844102;-0.7337753175738091;-0.1995003063281114;-0.03849482025658931;-1.823228112243835,-0.004022176257832565;-1.884951409805467;1.515668716199936;-0.1956407185508862;-0.3160134157755958;-0.1140980733230877,"[1,u,v,u*v,u^2,v^2]"
CV01,3,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,3,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006586802935353989;0.3226731734041596;-0.586034914363069;-0.5518806707257438;-0.2084808191032557;-3.058555865795328,-0.006243555903696094;-1.846484982932593;1.63210225033277;-0.264295363915678;-0.3503155740609157;-0.230828053543802,"[1,u,v,u*v,u^2,v^2]"
CV01,4,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,4,aggregate,1024,1024,,,,,0,6,0.001,-0.0026530710968814;0.2153885299386939;-0.5266326442828704;-0.0591649889712496;-0.2125858665691419;-0.7460548641618654,-0.001912989238351084;-1.007114195454959;0.6092620304709515;-1.092687270603427;-0.9735847167406321;-1.213640406717593,"[1,u,v,u*v,u^2,v^2]"
CV01,4,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004889353090867123;0.5698324357321657;-0.7385268500554035;-0.2272668056308109;-0.05535020490777203;-1.872237711748733,-0.004109968369947279;-1.915282438738631;1.538747418436778;-0.2066366495363113;-0.3324480741667027;-0.1195485431505427,"[1,u,v,u*v,u^2,v^2]"
CV01,4,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,4,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006559590321576299;0.3334018924136721;-0.6031038277602292;-0.6795650898811311;-0.2229947685735406;-3.050445816410828,-0.006236193788076082;-1.856230369362095;1.642978013447306;-0.2590899302315751;-0.3460041368956823;-0.2298919985889794,"[1,u,v,u*v,u^2,v^2]"
CV01,5,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,4,aggregate,1024,1024,,,,,0,6,0.001,-0.00265246915852857;0.2154378404343964;-0.5267846165069342;-0.05959599829248522;-0.2134762608884162;-0.7445494866629951,-0.001909614038234374;-1.014538505155856;0.6161762351947582;-1.089962816172629;-0.969918291157175;-1.210413592567955,"[1,u,v,u*v,u^2,v^2]"
CV01,5,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004834774197194327;0.5548947314657299;-0.7338860419167882;-0.2577420422192177;-0.05592874824069562;-1.911257690089154,-0.004073446702209366;-1.915632834244975;1.542987348985276;-0.1916728855847167;-0.3181672069449392;-0.1056178073879368,"[1,u,v,u*v,u^2,v^2]"
CV01,5,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,5,8,aggregate,1024,1024,,,,,0,6,0.001,-0.00640721943580648;0.3126362713618452;-0.6003836501196048;-0.8016867774423226;-0.3404451230112872;-3.003167231153775,-0.00608708386200825;-1.813992611891044;1.602948838442281;-0.2609700986236736;-0.3404691585583379;-0.2343164293873602,"[1,u,v,u*v,u^2,v^2]"
CV01,6,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002661248899717691;0.2145577323567596;-0.5260197936126605;-0.05424833143889695;-0.2207330187187321;-0.7437857945988763,-0.001924998595426679;-1.010961469654384;0.6127674528407133;-1.086462570044204;-0.9768861814501206;-1.197087233201344,"[1,u,v,u*v,u^2,v^2]"
CV01,6,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004818157004736401;0.5850206680470013;-0.7329274486104949;-0.1414167830741883;-0.04945786926535271;-1.777746417103544,-0.004089592480724487;-1.898798312775884;1.53302796348596;-0.1555245485363489;-0.2814176746448689;-0.07061523377837785,"[1,u,v,u*v,u^2,v^2]"
CV01,6,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,6,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006527274853264115;0.3171839000700482;-0.5830365315529406;-0.6836411361984031;-0.2119263015076755;-3.027983584852543,-0.00617844509668899;-1.832041588134851;1.622100282695223;-0.2513503681226633;-0.3343708639953049;-0.2167998213544577,"[1,u,v,u*v,u^2,v^2]"
CV01,7,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002651967942555778;0.2153499652412872;-0.5264922646012598;-0.05822649572655893;-0.2122586336009338;-0.747924616463488,-0.001912621721556983;-1.004633665285055;0.6070711741417222;-1.095582843716188;-0.9722834132882014;-1.218025891113363,"[1,u,v,u*v,u^2,v^2]"
CV01,7,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004874057586813102;0.5975835947284871;-0.7506790103659245;-0.1904677676589115;-0.03324812538260941;-1.824678658491586,-0.004130974354434849;-1.915691319079765;1.545476964057969;-0.1705981590012838;-0.2963576866246458;-0.08756917986443352,"[1,u,v,u*v,u^2,v^2]"
CV01,7,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,7,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006410870572445104;0.2779868817840598;-0.5799019676662652;-0.8239264279479199;-0.2307140784808006;-3.17449178908198,-0.006332134338531312;-1.861416618977681;1.650749675051048;-0.2378611582773417;-0.3164570838986564;-0.2167229277848122,"[1,u,v,u*v,u^2,v^2]"
CV01,8,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,4,aggregate,1024,1024,,,,,0,6,0.001,-0.0026502157013336;0.2153321889854449;-0.5264119557015576;-0.05835301533843545;-0.2121606607733951;-0.7486079349122122,-0.001905027579253483;-1.008577948150832;0.6108655085529071;-1.094125372314024;-0.9713058800404698;-1.216439304821916,"[1,u,v,u*v,u^2,v^2]"
CV01,8,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,6,aggregate,1024,1024,,,,,0,6,0.001,-0.00498232940124419;0.5642335660834201;-0.7513900184506356;-0.3466758410904943;-0.02128082532542098;-1.96089509783323,-0.004075598147603453;-1.902629408404531;1.532201524123173;-0.1818956270874393;-0.3156453282231487;-0.09215680347820693,"[1,u,v,u*v,u^2,v^2]"
CV01,8,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,8,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006566517191756381;0.3106394361657276;-0.5877866065882312;-0.6687337259497056;-0.2766070582010525;-3.02476578830861,-0.006238112167891887;-1.852320906856803;1.634606581130245;-0.2789076368915557;-0.37774037154725;-0.2377667407563656,"[1,u,v,u*v,u^2,v^2]"
CV01,9,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,4,aggregate,1024,1024,,,,,0,6,0.001,-0.002650479689957436;0.2153859027174017;-0.5264973723616776;-0.05835809609144087;-0.2122070802060737;-0.7477188772082065,-0.001904157370843353;-1.014448795083674;0.6162089675359401;-1.090176225233386;-0.974517115105086;-1.208224232891862,"[1,u,v,u*v,u^2,v^2]"
CV01,9,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004966652885469463;0.5616478649808966;-0.7486302090491628;-0.3416665795705476;-0.03830814750659417;-1.966640508834265,-0.004151588003560176;-1.920460273861398;1.545377769360326;-0.1925490004106956;-0.3189530915646027;-0.1075081390084932,"[1,u,v,u*v,u^2,v^2]"
CV01,9,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,9,8,aggregate,1024,1024,,,,,0,6,0.001,-0.006645096731236919;0.2965179810145834;-0.5862555630124133;-0.6405528443893526;-0.2466975516224796;-3.147759500117012,-0.00620845518010422;-1.844522331961262;1.634138870483918;-0.2524170554674676;-0.334469643388193;-0.2260276924105356,"[1,u,v,u*v,u^2,v^2]"
CV01,10,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,4,aggregate,1024,1024,,,,,0,6,0.001,-0.00265203865226891;0.2153179711685175;-0.5266967369068943;-0.05994156024450999;-0.2132374394428699;-0.7480513654204479,-0.001889691778608122;-0.9956668245939393;0.598958157734519;-1.105642405194652;-0.9711012799915888;-1.233976892891869,"[1,u,v,u*v,u^2,v^2]"
CV01,10,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,6,aggregate,1024,1024,,,,,0,6,0.001,-0.004845431150828069;0.5494886089597889;-0.7329523492884512;-0.3146824714166681;-0.0681400371799928;-1.917232901173908,-0.004104960686315056;-1.910847085951879;1.544694714158799;-0.1474870475708866;-0.2726487239074519;-0.06326066993601165,"[1,u,v,u*v,u^2,v^2]"
CV01,10,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
CV01,10,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,
