fidelity,group_id,split,base_trajectory,mission_phase,mission_epoch_utc,uncertainty_family,case_count,decision_set_count,candidates_per_decision_set,decision_set_id_first,decision_set_id_last,boundary_or_tail_case_count,boundary_selection_method,boundary_id_commitment,scenario_id_first,scenario_id_last,group_fingerprint,seed_namespace_commitment,feature_payload_status,label_payload_status
F0,G11,development,T03,outbound_late,2026-04-05T16:00:00Z,U1,500,100,5,F0-G11-D000001,F0-G11-D000100,125,sha256_rank_lowest_quarter,fc16d4dd0cb328d0c6f7d8cdb5d8f6712d2426b870082c906b7f6c52059e981c,F0-G11-000001,F0-G11-000500,84359e991a0c2d9208fb352316b50ff0678a7ef774003d428aa399bab1283012,241a302088795692579bd7fa5a71359aa4869275fd8905336a429321a74b2576,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G12,development,T04,return_early,2026-04-07T11:00:00Z,U2,500,100,5,F0-G12-D000001,F0-G12-D000100,125,sha256_rank_lowest_quarter,cd9c87e3fa7d74ba82ddc2b53767c8edb402a06c65365b6e6b522dc0bee137a0,F0-G12-000001,F0-G12-000500,006ac91dbb7323a714a94972f14bdcf76e74828deb1051b531de0f54fbe5d943,04c76817e4e1d6165d4e3cb32c7bec3f49664b88cb23580cf626e8fc2efb19ff,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G13,uncertainty_calibration,C04,outbound_mid,2026-04-05T06:00:00Z,U1,500,100,5,F0-G13-D000001,F0-G13-D000100,125,sha256_rank_lowest_quarter,f9cd6ccf98ed5d2774ec465d3f400d341212feed69cba68b3b81d90b7e9eadc5,F0-G13-000001,F0-G13-000500,ddf0000ba3130915c844ca515768b4f155c253e5f3af82c04378c62481323673,3c3e7d49dced27ce623ac26dde9d04d5154f6b105cc2c1d770bea1a68e3e1fca,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G14,uncertainty_calibration,C08,return_late,2026-04-09T02:00:00Z,U3,500,100,5,F0-G14-D000001,F0-G14-D000100,125,sha256_rank_lowest_quarter,43177829309d50b9d1c6ac139d9624a21d15a7f77dbf4f275f2d61ec713564fb,F0-G14-000001,F0-G14-000500,be81faa035d4178378abadff85afe71c2819d01c93b87245f04933a95cd7ef7b,0511433ad1bf1eeef9796a8108e82d0a5bc33f14c99a2107f6f3183296c212e6,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G15,in_distribution_final_test,V01,outbound_mid,2026-04-04T11:00:00Z,U1,500,100,5,F0-G15-D000001,F0-G15-D000100,125,sha256_rank_lowest_quarter,76b4b7c242e06c600ac989d379f02999a812e9b458a7c2dc208e43d494b88aff,F0-G15-000001,F0-G15-000500,e1552294d831d5f5e651dce07d2d962f555206187c007d32f6eccb0e4574d2a3,1174b7282b01bd4d41c7341bb27df8bf3824bf77ad1416ffbe6242780532334e,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G16,in_distribution_final_test,V03,lunar_flyby,2026-04-06T19:00:00Z,U3,500,100,5,F0-G16-D000001,F0-G16-D000100,125,sha256_rank_lowest_quarter,f0fd2a45fc842d101455113e7b1f118922d1b1ae9f25968a0f649c26ce804472,F0-G16-000001,F0-G16-000500,400789495fe79c4e7f0f90010db8d5a28c3e8e9f070863788eaff2b57c5418ce,b732c23079136b931d582f1483f1c0358e1308d4074c0e765d4b19a173879057,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G17,in_distribution_final_test,V05,return_late,2026-04-09T12:00:00Z,U4,500,100,5,F0-G17-D000001,F0-G17-D000100,125,sha256_rank_lowest_quarter,e75c5a3054fb5c9be5df01780b6668ad7484d19b134098414c92a4dc5ddf83dd,F0-G17-000001,F0-G17-000500,30a2f3de634922f763cc83233846ade7bac39190945f9d98e968bcd2acc0923a,353d803e6dd465e2a6857abe45e2b4d38cbab82cf0f8181d57d9110f4b785613,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G18,out_of_distribution_final_test,V02,outbound_late,2026-04-06T11:00:00Z,U5,500,100,5,F0-G18-D000001,F0-G18-D000100,500,all_u5,dcf7ea85587abbda943a5abb0fe8dad775c2c7bcd1265f2cb0671f4255c4e075,F0-G18-000001,F0-G18-000500,0e0a7472a18e0dfc816b2d8a6837d280af6504f7fbdbc905316b7c32e02447eb,83748da9e914746c0a7b8550f342a6f3cac301ec7859486a0556447107594c77,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G19,out_of_distribution_final_test,V04,return_mid,2026-04-08T16:00:00Z,U5,500,100,5,F0-G19-D000001,F0-G19-D000100,500,all_u5,d11c98ad8afdc83a0095f4b0083cbbd23fd4ba60a142847fcd5b3672a4b7e86a,F0-G19-000001,F0-G19-000500,bd3d2827b6e9cf18b41538ffe5fdca15da9559fec0165a5ae32b9b83018bd4ef,27fdd2475b2a524f5f6de1ac9375410b700b99af2e83c35e6643bd06fb924b92,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F0,G20,out_of_distribution_final_test,V05,return_late,2026-04-09T12:00:00Z,U5,500,100,5,F0-G20-D000001,F0-G20-D000100,500,all_u5,61f886f019b9c4f19c738927bef15db37604305cff3a1beb8a0836e7a4708b96,F0-G20-000001,F0-G20-000500,ebbbd13063165574fad32155562aaa00f5eafb510b54f5391a584d3650554c09,0da67b50731958b0f5c76c5539a916478da80df0bbcabe7b05ba4087694e6df3,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G01,development,C01,outbound_early,2026-04-03T01:30:00Z,U0,2500,500,5,F1-G01-D000001,F1-G01-D000500,625,sha256_rank_lowest_quarter,497e844ef9f1b02a6783d50da4227e5aaf6c3a41b08145f025cb9a2321232544,F1-G01-000001,F1-G01-002500,14d81c21b21c9e3db5b553ac6b826b56980698a5304cb2f4f7fdd536466a44b9,4e75200bf6e1eb1c1d1005089ddadb5d7b8e1318f7dd53768681f90ab4c54183,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G02,development,C02,outbound_early,2026-04-03T19:00:00Z,U1,2500,500,5,F1-G02-D000001,F1-G02-D000500,625,sha256_rank_lowest_quarter,d321c57b928f08aa069d864d706253cc70bb622e87724b809de0e0e7c9b29854,F1-G02-000001,F1-G02-002500,49757bb8d9b992fc1064636f3bd8243b3c75205cef0ece874e6b33d421f0ff8c,778dcfbd304e334660221cf2f62a33df731e9e5e39b4c01237f461fc91b038b6,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G03,development,C03,outbound_mid,2026-04-04T19:00:00Z,U2,2500,500,5,F1-G03-D000001,F1-G03-D000500,625,sha256_rank_lowest_quarter,925a036e97da2af8515b0dc1b5cfe791268c527e1b79c0c96331f6fcd4dc9117,F1-G03-000001,F1-G03-002500,74b7b8704a47a37e3e1bf00d40fed39466ef6b77a1d5e66f4f3e074a9525e228,d4e40661cf52104f275b6335bda39f6e286704451c5a6d5e81b1b577ea627129,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G04,development,C04,outbound_mid,2026-04-05T06:00:00Z,U3,2500,500,5,F1-G04-D000001,F1-G04-D000500,625,sha256_rank_lowest_quarter,684a6e1a26c419886e2781db6c8e23347f227a6cf6c548e04f1e91817339ac14,F1-G04-000001,F1-G04-002500,f2ee5fd7f05157f34f7b7a81d0e6612cbad8454e25d049be7a1b03efe36e2ae9,56648f5277c20ef13576f1ce29dcda8e1cb994afc1af361f047d2a13b16fe031,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G05,development,C05,outbound_late,2026-04-06T04:00:00Z,U4,2500,500,5,F1-G05-D000001,F1-G05-D000500,625,sha256_rank_lowest_quarter,d7ff55a4de78438de186e6b607fc3b826e9c0ed94f420f0229eac2f422c1e87d,F1-G05-000001,F1-G05-002500,d69fe791e0a25b420caab0d9c4eaf20c2339989991514feeff959b8cc0e77951,cccb291b2be74eff1aefcd9481e9a7fb8e352ad4f966ec94ea0172af4975fbc6,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G06,development,C06,lunar_exit,2026-04-07T02:00:00Z,U0,2500,500,5,F1-G06-D000001,F1-G06-D000500,625,sha256_rank_lowest_quarter,bc30e5c3fbd92f97afb6638b8884fe44962d2bb8fcedbf17821f303c1b48e09b,F1-G06-000001,F1-G06-002500,54b4758d557d5eb299b2c68c6e4acb8b6f57b9f7d395f0383f2a6a1a5296b9a5,7b57309e767de5dc8ebd6f868a30d44d6382752173bd05fb1d172f682033f574,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G07,development,C07,return_mid,2026-04-08T06:00:00Z,U1,2500,500,5,F1-G07-D000001,F1-G07-D000500,625,sha256_rank_lowest_quarter,6149dc4a01e0200ab9bd15938a16ead37e1638ca689eb751980e07a91260d2f5,F1-G07-000001,F1-G07-002500,2c638a5b0d84a61fe9e60e8f8cc58db610b9ed1ee70e1c0c6f286f100f5ad19d,a4101b14d39ea9a067c2afbc49a64452e82858c55f7acc35ad852a62a6925f7d,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G08,development,C08,return_late,2026-04-09T02:00:00Z,U2,2500,500,5,F1-G08-D000001,F1-G08-D000500,625,sha256_rank_lowest_quarter,ac490353107e4ac5d3aed64b530a51819f9ae56d730057b9f8225df65db4db30,F1-G08-000001,F1-G08-002500,4daca19150baa259509defec9136f6dde2712a2e153b1d7ae4a7cc3ffb2d0644,791aa6ead4d8b2007a49100ec1397da3031ab6a314264252108b4f0d5a166ba6,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G09,development,T01,outbound_early,2026-04-03T08:00:00Z,U3,2500,500,5,F1-G09-D000001,F1-G09-D000500,625,sha256_rank_lowest_quarter,4ded7b0c36768ab462f59356939b4508f4045f01c37afd70ff028072679969be,F1-G09-000001,F1-G09-002500,71c456590a7348f19381f2c0d0846952663ec23787ede39d314da279c84c7795,0c4be2ae178e756f04dcfc1a251e4fab01d62b7b26eb8825f5ce58a91263301d,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G10,development,T02,outbound_mid,2026-04-04T02:00:00Z,U4,2500,500,5,F1-G10-D000001,F1-G10-D000500,625,sha256_rank_lowest_quarter,203aabdac0af4a8db7010f8eb7ae59d1acfe481302f53e62dd55875d8e76e9f2,F1-G10-000001,F1-G10-002500,6e14a88630c78530e27e781dd461d96a4d41aaec92c01205305d5e58291bf836,eb5fa3d184701d7082d3ad286d25d4498e65d1c1ee12009453e33b4229f0c4ec,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G11,development,T03,outbound_late,2026-04-05T16:00:00Z,U1,2500,500,5,F1-G11-D000001,F1-G11-D000500,625,sha256_rank_lowest_quarter,2114651b6e1f802e49ae32a3e519091434cc5e86b0c606e3538eab2bb34cbe91,F1-G11-000001,F1-G11-002500,84359e991a0c2d9208fb352316b50ff0678a7ef774003d428aa399bab1283012,ee748aa126d49b48af16f501d08c002d545eb970f43e2fe8e022ed2ac0bce4fb,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G12,development,T04,return_early,2026-04-07T11:00:00Z,U2,2500,500,5,F1-G12-D000001,F1-G12-D000500,625,sha256_rank_lowest_quarter,5c8e704eff47a84075498f3effad5094c740915ada2b2c1d5cd8845377114a21,F1-G12-000001,F1-G12-002500,006ac91dbb7323a714a94972f14bdcf76e74828deb1051b531de0f54fbe5d943,319c540fe3975e1cd2095ec30c32159e68b37b7c9b796289d93e02104503726c,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G13,uncertainty_calibration,C04,outbound_mid,2026-04-05T06:00:00Z,U1,2500,500,5,F1-G13-D000001,F1-G13-D000500,625,sha256_rank_lowest_quarter,06bc364edca0cd29c911cd7edf3a537c82bd6dda92b10802079c0490bfb44de9,F1-G13-000001,F1-G13-002500,ddf0000ba3130915c844ca515768b4f155c253e5f3af82c04378c62481323673,253b592f07668bda771745d62b469bd688ef9573dfbbeb3636767c17824aeb0b,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G14,uncertainty_calibration,C08,return_late,2026-04-09T02:00:00Z,U3,2500,500,5,F1-G14-D000001,F1-G14-D000500,625,sha256_rank_lowest_quarter,bf092079070d740f0021ea8ff8ff60516e3f05bda638dad3f265e822de970f83,F1-G14-000001,F1-G14-002500,be81faa035d4178378abadff85afe71c2819d01c93b87245f04933a95cd7ef7b,105743696f029d63c3339770cfaff996c3a83995b3cdfb8cbd299e8c6616ec1d,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G15,in_distribution_final_test,V01,outbound_mid,2026-04-04T11:00:00Z,U1,2500,500,5,F1-G15-D000001,F1-G15-D000500,625,sha256_rank_lowest_quarter,014b228a440c9c1425e06c73cfd3179881ab858b565482c131ab0fd7dca98170,F1-G15-000001,F1-G15-002500,e1552294d831d5f5e651dce07d2d962f555206187c007d32f6eccb0e4574d2a3,3579aa97456c4c897d8e64657cc2b0fa27b833b6dca5dc4a97ce484694ac6c56,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G16,in_distribution_final_test,V03,lunar_flyby,2026-04-06T19:00:00Z,U3,2500,500,5,F1-G16-D000001,F1-G16-D000500,625,sha256_rank_lowest_quarter,a5ad2b69349ba1e16c854f488530a3aa2773f588a002d3448e649ca1dcd90345,F1-G16-000001,F1-G16-002500,400789495fe79c4e7f0f90010db8d5a28c3e8e9f070863788eaff2b57c5418ce,9994051fc6cb7f2ac8117d8a164dbae9bc59a2e3f9c8c446dcb1fe921bbd34b5,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G17,in_distribution_final_test,V05,return_late,2026-04-09T12:00:00Z,U4,2500,500,5,F1-G17-D000001,F1-G17-D000500,625,sha256_rank_lowest_quarter,b497e148a19ef6f1ab484f2114bcb0efe55c03945cf0640a84f60bd847b61454,F1-G17-000001,F1-G17-002500,30a2f3de634922f763cc83233846ade7bac39190945f9d98e968bcd2acc0923a,78be497b4e0dceb1d6964b71733d3b95b921e87759610bde691f91fbae50fa38,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G18,out_of_distribution_final_test,V02,outbound_late,2026-04-06T11:00:00Z,U5,2500,500,5,F1-G18-D000001,F1-G18-D000500,2500,all_u5,48e377430639a4538ae2ee21f6edaebb21347df2a2f98c52731f5d2b4f8d0938,F1-G18-000001,F1-G18-002500,0e0a7472a18e0dfc816b2d8a6837d280af6504f7fbdbc905316b7c32e02447eb,8bbd9e0bee42171c2504822869f28e08d48c4c3822c9e5e9a31f8b2f667292e1,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G19,out_of_distribution_final_test,V04,return_mid,2026-04-08T16:00:00Z,U5,2500,500,5,F1-G19-D000001,F1-G19-D000500,2500,all_u5,13fc99a81ba698b27537d625fd69760e4948dd466099b367a362e17465e35701,F1-G19-000001,F1-G19-002500,bd3d2827b6e9cf18b41538ffe5fdca15da9559fec0165a5ae32b9b83018bd4ef,d42d344f4a6e64215cee2c13e308c058ed55b42bf86f1ed7fa48f73413009928,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F1,G20,out_of_distribution_final_test,V05,return_late,2026-04-09T12:00:00Z,U5,2500,500,5,F1-G20-D000001,F1-G20-D000500,2500,all_u5,a902b8ebbc2db5e8e8a7b08e2c8f4cace5f0ae6049f9148295aad9923824cc75,F1-G20-000001,F1-G20-002500,ebbbd13063165574fad32155562aaa00f5eafb510b54f5391a584d3650554c09,ba1a72a66f3fe25b602d4a3ef3ea8e72bc85ec6d4570f7c92030600c8819a4e2,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G01,development,C01,outbound_early,2026-04-03T01:30:00Z,U0,250,50,5,F2-G01-D000001,F2-G01-D000050,63,sha256_rank_lowest_quarter,ff29ef7e64f00019289e6c2f6fb80af66ad1493800efe638ea5da4ee15a1530b,F2-G01-000001,F2-G01-000250,14d81c21b21c9e3db5b553ac6b826b56980698a5304cb2f4f7fdd536466a44b9,4b6365fac0f474bbcacb508015ad3b0be3957f865880e2d501d3ebe4d779101b,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G02,development,C02,outbound_early,2026-04-03T19:00:00Z,U1,250,50,5,F2-G02-D000001,F2-G02-D000050,63,sha256_rank_lowest_quarter,3c70be9f7da75e9031c956d8f782d5c5026c5fe02c11fddc614bbd55b482366b,F2-G02-000001,F2-G02-000250,49757bb8d9b992fc1064636f3bd8243b3c75205cef0ece874e6b33d421f0ff8c,b754c728bf99c7d5b27482e0256ec29eb43df0a158d7e9ef24a837a27621ff17,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G03,development,C03,outbound_mid,2026-04-04T19:00:00Z,U2,250,50,5,F2-G03-D000001,F2-G03-D000050,63,sha256_rank_lowest_quarter,4d3b1ba55796f193bd2e1ea9d73ee9a0ead80e9eabbde6b6d642a6dc45deb40d,F2-G03-000001,F2-G03-000250,74b7b8704a47a37e3e1bf00d40fed39466ef6b77a1d5e66f4f3e074a9525e228,ae0d1a1e4cc92efc18e45f18723219ed1ef854083c0237344168998a376b43d3,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G04,development,C04,outbound_mid,2026-04-05T06:00:00Z,U3,250,50,5,F2-G04-D000001,F2-G04-D000050,63,sha256_rank_lowest_quarter,717c03bdc6e4d778d45072ce4ee7e2d55176d8d22cb933563c7a15589c2d8427,F2-G04-000001,F2-G04-000250,f2ee5fd7f05157f34f7b7a81d0e6612cbad8454e25d049be7a1b03efe36e2ae9,35a0403ed60c233f97349f8baeeb60d58321946ed67ebf7aaa7701a44ebe364c,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G05,development,C05,outbound_late,2026-04-06T04:00:00Z,U4,250,50,5,F2-G05-D000001,F2-G05-D000050,63,sha256_rank_lowest_quarter,961f3c58dec89088dcabdf6a37cc26bb5049fc719e3156b1faaa7313a4c186c4,F2-G05-000001,F2-G05-000250,d69fe791e0a25b420caab0d9c4eaf20c2339989991514feeff959b8cc0e77951,211496270f8298246b8ddbd5e9d7e91d77317b158894addfcaae97283cd68659,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G06,development,C06,lunar_exit,2026-04-07T02:00:00Z,U0,250,50,5,F2-G06-D000001,F2-G06-D000050,63,sha256_rank_lowest_quarter,e83129b504d2fbdae7160bdd6fd85152735a6c346ef085283bad567d24be9330,F2-G06-000001,F2-G06-000250,54b4758d557d5eb299b2c68c6e4acb8b6f57b9f7d395f0383f2a6a1a5296b9a5,5e8f459102f9f56cfb49d72f6449596e9ef769fc5821b59e8eca6ba087e9e22f,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G07,development,C07,return_mid,2026-04-08T06:00:00Z,U1,250,50,5,F2-G07-D000001,F2-G07-D000050,63,sha256_rank_lowest_quarter,cb54520496f7fd4703b8ed4318fc30936122d42e4ba976c1acdd7207f5dfbf2a,F2-G07-000001,F2-G07-000250,2c638a5b0d84a61fe9e60e8f8cc58db610b9ed1ee70e1c0c6f286f100f5ad19d,e60f25fa69aee3876ba65d59101fad3054ed9158f6195f402141842e809e0440,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G08,development,C08,return_late,2026-04-09T02:00:00Z,U2,250,50,5,F2-G08-D000001,F2-G08-D000050,63,sha256_rank_lowest_quarter,7ff6003531541e8669956f761deed658b8476084a301f98587ce77eb3a0aa943,F2-G08-000001,F2-G08-000250,4daca19150baa259509defec9136f6dde2712a2e153b1d7ae4a7cc3ffb2d0644,dbd5869d3ab048ba3c44e118513d0301e9448c87b771b65e0633adf1312ce761,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G09,development,T01,outbound_early,2026-04-03T08:00:00Z,U3,250,50,5,F2-G09-D000001,F2-G09-D000050,63,sha256_rank_lowest_quarter,cf53f6fa354a8563576b9236ee0883f6e4b8e1b414e7a400bad308e1befc828c,F2-G09-000001,F2-G09-000250,71c456590a7348f19381f2c0d0846952663ec23787ede39d314da279c84c7795,d6454000dcaf39f9747d2193307d46d804740a81166b33fedad8f907e1a6f2b8,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G10,development,T02,outbound_mid,2026-04-04T02:00:00Z,U4,250,50,5,F2-G10-D000001,F2-G10-D000050,63,sha256_rank_lowest_quarter,72d727deb8fb6d7532f44de45b2e95a5ad578fc8e5f66bee9a41ebe72639be1e,F2-G10-000001,F2-G10-000250,6e14a88630c78530e27e781dd461d96a4d41aaec92c01205305d5e58291bf836,5eceaba9c0a9a30faf356af60fc715509dee5f81b636bdd8f6cacba62af83caf,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G11,development,T03,outbound_late,2026-04-05T16:00:00Z,U1,250,50,5,F2-G11-D000001,F2-G11-D000050,63,sha256_rank_lowest_quarter,5e6a2577c524205a5cc3863b470c385addbeee81be33341bfe5c1ac4eefe61b6,F2-G11-000001,F2-G11-000250,84359e991a0c2d9208fb352316b50ff0678a7ef774003d428aa399bab1283012,c7f38e10d9f9bd711da24ea48c6d1b6484afa92637dc9704ffbcc868454bcaa7,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G12,development,T04,return_early,2026-04-07T11:00:00Z,U2,250,50,5,F2-G12-D000001,F2-G12-D000050,63,sha256_rank_lowest_quarter,978026d25bb8d58892e3cf4cfb8829b8a27d06cf228ddb399919fe8826de5a54,F2-G12-000001,F2-G12-000250,006ac91dbb7323a714a94972f14bdcf76e74828deb1051b531de0f54fbe5d943,1b9f83083c259e04e3bf480cbfb8d7044c214fe25731b39a417be115ca502862,not_generated_gate_4_freeze,not_generated_gate_4_freeze
F2,G13,uncertainty_calibration,C04,outbound_mid,2026-04-05T06:00:00Z,U1,250,50,5,F2-G13-D000001,F2-G13-D000050,63,sha256_rank_lowest_quarter,bbc192841491376a1b829a61d5c537f159899b29108cc6e2684aadcc61b83588,F2-G13-000001,F2-G13-000250,ddf0000ba3130915c844ca515768b4f155c253e5f3af82c04378c62481323673,65dbe57e936c9c34a69bedd196ee7af941c7d83d6bec9494457f94de0d066d1a,not_generated_gate_4_freeze,not_generated_gate_4_freeze
