discontinuity_id,first_flagged_utc,last_flagged_utc,flagged_state_count,maximum_position_loo_error_km,maximum_velocity_loo_error_m_s,position_threshold_km,velocity_threshold_m_s,coast_exclusion_buffer_min,interpretation
X14,2026-04-05T02:42:48.802000Z,2026-04-05T02:44:47.610000Z,2,5.247991114,26.459063282,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X15,2026-04-05T04:32:45.729000Z,2026-04-05T04:35:05.944000Z,2,13.400769613,71.374807429,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X16,2026-04-05T14:59:05.944000Z,2026-04-05T15:00:43.855000Z,2,69.987554690,321.377261537,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X17,2026-04-05T22:39:15.295000Z,2026-04-05T22:41:15.606000Z,2,0.456462477,3.855413838,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X18,2026-04-06T01:05:15.606000Z,2026-04-06T01:09:07.760000Z,2,2.079285226,12.892829336,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X19,2026-04-06T03:03:17.084000Z,2026-04-06T03:09:38.803000Z,4,0.064748531,1.204419322,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X20,2026-04-06T17:33:46.418000Z,2026-04-06T17:34:51.667000Z,2,4.167341303,54.278360273,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X21,2026-04-07T09:58:51.667000Z,2026-04-07T10:01:44.685000Z,2,4.303276868,24.540950270,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X22,2026-04-07T18:57:44.685000Z,2026-04-07T19:02:31.755000Z,2,0.204126358,1.333594985,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X23,2026-04-07T21:26:29.718000Z,2026-04-07T21:30:14.766000Z,2,0.038865653,0.239283331,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X24,2026-04-08T00:03:17.084000Z,2026-04-08T00:07:35.309000Z,2,0.027578654,0.225531904,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X25,2026-04-08T04:35:35.309000Z,2026-04-08T04:38:43.815000Z,2,2.300479645,13.471668796,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X26,2026-04-08T14:27:24.034000Z,2026-04-08T14:30:35.910000Z,2,1.866111173,10.987786581,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X27,2026-04-09T09:20:08.632000Z,2026-04-09T09:24:00Z,2,6.147043130,38.092419382,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X28,2026-04-09T19:58:24.787000Z,2026-04-09T20:00:01.271000Z,2,3.496570259,16.142249867,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X29,2026-04-09T23:35:28.121000Z,2026-04-09T23:38:22.289000Z,2,0.125602805,0.722274977,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
X30,2026-04-10T02:53:28.122000Z,2026-04-10T03:08:14.940000Z,4,0.156802599,1.624354654,0.05,0.05,30,State transition or locally high-curvature interval; used only to exclude clean coast arcs and not labeled as a maneuver.
